framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
lite-signal            , avoidablePropagation                                         , 601.29   , 601.29   , 601.29   , 0.000    , baseline       , selective propagation    ,                                                                                                 
lite-signal            , broadPropagation                                             , 540.89   , 540.89   , 540.89   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
lite-signal            , deepPropagation                                              , 218.90   , 218.90   , 218.90   , 0.000    , pull           , linear chain             ,                                                                                                 
lite-signal            , diamond                                                      , 477.57   , 477.57   , 477.57   , 0.000    , baseline       , diamond                  ,                                                                                                 
lite-signal            , mux                                                          , 544.98   , 544.98   , 544.98   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
lite-signal            , repeatedObservers                                            , 151.44   , 151.44   , 151.44   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
lite-signal            , triangle                                                     , 186.77   , 186.77   , 186.77   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
lite-signal            , unstable                                                     , 149.34   , 149.34   , 149.34   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
lite-signal            , manyEffectsFromOneSource                                     , 331.35   , 331.35   , 331.35   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
lite-signal            , manySourcesIntoOneComputedEffectWithDirect                   , 183.87   , 183.87   , 183.87   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
lite-signal            , manySourcesIntoOneComputedEffect                             , 191.46   , 191.46   , 191.46   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
lite-signal            , manySourcesIntoOneDirectEffect                               , 89.47    , 89.47    , 89.47    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
lite-signal            , molBench                                                     , 509.14   , 509.14   , 509.14   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
lite-signal            , createDataSignals                                            , 57.76    , 57.76    , 57.76    , 0.000    , creation       , signal creation          ,                                                                                                 
lite-signal            , createComputations0to1                                       , 48.16    , 48.16    , 48.16    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to1                                       , 32.73    , 32.73    , 32.73    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations2to1                                       , 27.04    , 27.04    , 27.04    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations4to1                                       , 16.44    , 16.44    , 16.44    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1000to1                                    , 0.10     , 0.10     , 0.10     , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to2                                       , 42.90    , 42.90    , 42.90    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to4                                       , 55.88    , 55.88    , 55.88    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to8                                       , 52.03    , 52.03    , 52.03    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to1000                                    , 51.16    , 51.16    , 51.16    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , updateComputations1to1                                       , 11.59    , 11.59    , 11.59    , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations2to1                                       , 2.92     , 2.92     , 2.92     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations4to1                                       , 4.45     , 4.45     , 4.45     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1000to1                                    , 0.24     , 0.24     , 0.24     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to2                                       , 7.72     , 7.72     , 7.72     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to4                                       , 6.26     , 6.26     , 6.26     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to1000                                    , 0.69     , 0.69     , 0.69     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 517.25   , 517.25   , 517.25   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite-signal            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 775.04   , 775.04   , 775.04   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite-signal            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 415.50   , 415.50   , 415.50   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite-signal            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 802.19   , 802.19   , 802.19   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 179.85   , 179.85   , 179.85   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 238.46   , 238.46   , 238.46   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 2830.69  , 2830.69  , 2830.69  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
lite-signal            , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 11.04    , 11.04    , 11.04    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
lite-signal            , 32x8 - 4 sources - pull (pure pull)                          , 29.89    , 29.89    , 29.89    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
lite-signal            , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 38.72    , 38.72    , 38.72    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
lite-signal            , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 34.65    , 34.65    , 34.65    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
lite-signal            , 32x8 - 4 sources - push (pure push)                          , 227.80   , 227.80   , 227.80   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
lite-signal            , 10x5 - 2 sources - read 20% (simple component)               , 358.71   , 358.71   , 358.71   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
lite-signal            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 296.86   , 296.86   , 296.86   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
