framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
lite-signal            , avoidablePropagation                                         , 586.58   , 586.58   , 586.58   , 0.000    , baseline       , selective propagation    ,                                                                                                 
lite-signal            , broadPropagation                                             , 556.68   , 556.68   , 556.68   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
lite-signal            , deepPropagation                                              , 229.36   , 229.36   , 229.36   , 0.000    , pull           , linear chain             ,                                                                                                 
lite-signal            , diamond                                                      , 467.41   , 467.41   , 467.41   , 0.000    , baseline       , diamond                  ,                                                                                                 
lite-signal            , mux                                                          , 578.62   , 578.62   , 578.62   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
lite-signal            , repeatedObservers                                            , 134.80   , 134.80   , 134.80   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
lite-signal            , triangle                                                     , 184.25   , 184.25   , 184.25   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
lite-signal            , unstable                                                     , 144.01   , 144.01   , 144.01   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
lite-signal            , manyEffectsFromOneSource                                     , 341.65   , 341.65   , 341.65   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
lite-signal            , manySourcesIntoOneComputedEffectWithDirect                   , 192.60   , 192.60   , 192.60   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
lite-signal            , manySourcesIntoOneComputedEffect                             , 182.16   , 182.16   , 182.16   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
lite-signal            , manySourcesIntoOneDirectEffect                               , 84.39    , 84.39    , 84.39    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
lite-signal            , molBench                                                     , 534.25   , 534.25   , 534.25   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
lite-signal            , createDataSignals                                            , 32.19    , 32.19    , 32.19    , 0.000    , creation       , signal creation          ,                                                                                                 
lite-signal            , createComputations0to1                                       , 46.29    , 46.29    , 46.29    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to1                                       , 33.80    , 33.80    , 33.80    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations2to1                                       , 18.11    , 18.11    , 18.11    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations4to1                                       , 11.88    , 11.88    , 11.88    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1000to1                                    , 0.08     , 0.08     , 0.08     , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to2                                       , 44.71    , 44.71    , 44.71    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to4                                       , 55.68    , 55.68    , 55.68    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to8                                       , 59.00    , 59.00    , 59.00    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , createComputations1to1000                                    , 43.73    , 43.73    , 43.73    , 0.000    , creation       , computed creation        ,                                                                                                 
lite-signal            , updateComputations1to1                                       , 4.63     , 4.63     , 4.63     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations2to1                                       , 2.36     , 2.36     , 2.36     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations4to1                                       , 3.02     , 3.02     , 3.02     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1000to1                                    , 0.33     , 0.33     , 0.33     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to2                                       , 6.50     , 6.50     , 6.50     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to4                                       , 3.61     , 3.61     , 3.61     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , updateComputations1to1000                                    , 0.49     , 0.49     , 0.49     , 0.000    , update         , stable update            ,                                                                                                 
lite-signal            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 538.26   , 538.26   , 538.26   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite-signal            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 775.29   , 775.29   , 775.29   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite-signal            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 434.74   , 434.74   , 434.74   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite-signal            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 824.19   , 824.19   , 824.19   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 185.31   , 185.31   , 185.31   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 237.81   , 237.81   , 237.81   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
lite-signal            , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 2951.26  , 2951.26  , 2951.26  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
lite-signal            , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 11.07    , 11.07    , 11.07    , 0.000    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
lite-signal            , 32x8 - 4 sources - pull (pure pull)                          , 33.75    , 33.75    , 33.75    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
lite-signal            , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 51.56    , 51.56    , 51.56    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
lite-signal            , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 36.15    , 36.15    , 36.15    , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
lite-signal            , 32x8 - 4 sources - push (pure push)                          , 228.54   , 228.54   , 228.54   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
lite-signal            , 10x5 - 2 sources - read 20% (simple component)               , 360.02   , 360.02   , 360.02   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
lite-signal            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 297.46   , 297.46   , 297.46   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
lite-signal            , 1000x12 - 4 sources - dynamic (large web app)                , 586.86   , 586.86   , 586.86   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
lite-signal            , 1000x5 - 25 sources (wide dense)                             , 751.58   , 751.58   , 751.58   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
lite-signal            , 5x500 - 3 sources (deep)                                     , 349.89   , 349.89   , 349.89   , 0.000    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
reflex                 , avoidablePropagation                                         , 581.05   , 581.05   , 581.05   , 0.000    , baseline       , selective propagation    ,                                                                                                 
reflex                 , broadPropagation                                             , 539.56   , 539.56   , 539.56   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
reflex                 , deepPropagation                                              , 221.54   , 221.54   , 221.54   , 0.000    , pull           , linear chain             ,                                                                                                 
reflex                 , diamond                                                      , 464.29   , 464.29   , 464.29   , 0.000    , baseline       , diamond                  ,                                                                                                 
reflex                 , mux                                                          , 545.36   , 545.36   , 545.36   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
reflex                 , repeatedObservers                                            , 125.51   , 125.51   , 125.51   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
reflex                 , triangle                                                     , 171.78   , 171.78   , 171.78   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
reflex                 , unstable                                                     , 146.17   , 146.17   , 146.17   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
reflex                 , manyEffectsFromOneSource                                     , 461.14   , 461.14   , 461.14   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
reflex                 , manySourcesIntoOneComputedEffectWithDirect                   , 194.52   , 194.52   , 194.52   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
reflex                 , manySourcesIntoOneComputedEffect                             , 182.51   , 182.51   , 182.51   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
reflex                 , manySourcesIntoOneDirectEffect                               , 77.65    , 77.65    , 77.65    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
reflex                 , molBench                                                     , 522.49   , 522.49   , 522.49   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
reflex                 , createDataSignals                                            , 10.06    , 10.06    , 10.06    , 0.000    , creation       , signal creation          ,                                                                                                 
reflex                 , createComputations0to1                                       , 7.76     , 7.76     , 7.76     , 0.000    , creation       , computed creation        ,                                                                                                 
reflex                 , createComputations1to1                                       , 1.65     , 1.65     , 1.65     , 0.000    , creation       , computed creation        ,                                                                                                 
