#STAMP {"kind":"bench-stamp/v1","date":"2026-07-19T00:03:43.276Z","protocol":"isolated-per-row","reps":3,"node":"v26.3.1","arch":"arm64","platform":"darwin","cpu":"Apple M4 Pro","gcExposed":true,"enginePath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.9.0-preview/Signal.js","engineSha256":"1df12cb3cd9e4f86b4a2ea37603392b160b65fd22e3cb5a5e1dd69ce66c792a3","harnessPath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.9.0-preview/bench/mirror.mjs","harnessSha256":"b7adc35f38454cdcb612557414a92ead3780d32f6e0ef9b935c8f052c29dcbbc","config":{"maxNodes":131072,"maxLinks":1048576,"prealloc":"lazy","onCapacityExceeded":"grow"},"extra":{"ceiling_ms":1500,"quick":false,"adapter":"andrii-canonical","scenario":"dashboard selective reads"}}
framework , test , time , metrics
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective reads) , 189.85   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 287.83   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 172.19   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 382.09   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered full-drain cold) , 46.53    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 (layered full-drain warm) , 41.81    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - warm 256 - per-batch (layered burst flush warm) , 632.36   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256 (stable diamond mesh warm) , 4.69     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 0.54     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32
alien-signals          , 8x64 - 1 sources - pull (linear chain - 1 source - pull (linear pull)) , 0.72     , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8
alien-signals          , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branchy pull)) , 0.49     , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 79.41    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 131.70   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 123.08   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 268.82   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 397.21   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000
alien-signals          , 5x500 - 3 sources (deep)                                     , 106.74   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505
alien-signals          , avoidablePropagation                                         , 74.71    , 
alien-signals          , broadPropagation                                             , 152.68   , 
alien-signals          , deepPropagation                                              , 51.32    , 
alien-signals          , diamond                                                      , 97.29    , 
alien-signals          , mux                                                          , 176.13   , 
alien-signals          , repeatedObservers                                            , 29.43    , 
alien-signals          , triangle                                                     , 35.04    , 
alien-signals          , unstable                                                     , 44.28    , 
alien-signals          , manyEffectsFromOneSource                                     , 115.85   , checksum=180075672000
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 104.14   , checksum=1372929289844
alien-signals          , manySourcesIntoOneComputedEffect                             , 97.71    , checksum=1331323690944
alien-signals          , manySourcesIntoOneDirectEffect                               , 31.69    , checksum=41605598900
alien-signals          , molBench                                                     , 188.67   , 
alien-signals          , createDataSignals                                            , 3.38     , 
alien-signals          , createComputations0to1                                       , 2.33     , 
alien-signals          , createComputations1to1                                       , 7.41     , 
alien-signals          , createComputations2to1                                       , 3.34     , 
alien-signals          , createComputations4to1                                       , 2.46     , 
alien-signals          , createComputations1000to1                                    , 0.02     , 
alien-signals          , createComputations1to2                                       , 6.03     , 
alien-signals          , createComputations1to4                                       , 3.36     , 
alien-signals          , createComputations1to8                                       , 4.58     , 
alien-signals          , createComputations1to1000                                    , 2.99     , 
alien-signals          , updateComputations1to1                                       , 1.97     , 
alien-signals          , updateComputations2to1                                       , 1.37     , 
alien-signals          , updateComputations4to1                                       , 0.59     , 
alien-signals          , updateComputations1000to1                                    , 0.02     , 
alien-signals          , updateComputations1to2                                       , 1.06     , 
alien-signals          , updateComputations1to4                                       , 0.49     , 
alien-signals          , updateComputations1to1000                                    , 0.04     , 
