#STAMP {"kind":"bench-stamp/v1","date":"2026-07-18T04:31:37.447Z","protocol":"isolated-per-row","reps":3,"node":"v26.3.1","arch":"arm64","platform":"darwin","cpu":"Apple M4 Pro","gcExposed":true,"enginePath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.7.0-preview/Signal.js","engineSha256":"557c60e7b805bb4716b382679fb5ee084124c7580ad33445385f9b85d6136b67","harnessPath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.7.0-preview/bench/mirror.mjs","harnessSha256":"b7adc35f38454cdcb612557414a92ead3780d32f6e0ef9b935c8f052c29dcbbc","config":{"maxNodes":131072,"maxLinks":1048576,"prealloc":"lazy","onCapacityExceeded":"grow"},"extra":{"ceiling_ms":1500,"quick":false,"adapter":"andrii-canonical","scenario":"dashboard selective reads"}}
framework , test , time , metrics
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective reads) , 175.56   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 252.44   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 148.86   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 333.82   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered full-drain cold) , 46.72    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 (layered full-drain warm) , 41.31    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - warm 256 - per-batch (layered burst flush warm) , 361.84   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256 (stable diamond mesh warm) , 3.94     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 0.49     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32
alien-signals          , 8x64 - 1 sources - pull (linear chain - 1 source - pull (linear pull)) , 0.68     , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8
alien-signals          , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branchy pull)) , 0.39     , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 75.76    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 116.15   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 114.73   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 268.42   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 364.71   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000
alien-signals          , 5x500 - 3 sources (deep)                                     , 93.65    , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505
alien-signals          , avoidablePropagation                                         , 65.38    , 
alien-signals          , broadPropagation                                             , 136.00   , 
alien-signals          , deepPropagation                                              , 49.21    , 
alien-signals          , diamond                                                      , 87.70    , 
alien-signals          , mux                                                          , 161.35   , 
alien-signals          , repeatedObservers                                            , 26.21    , 
alien-signals          , triangle                                                     , 33.26    , 
alien-signals          , unstable                                                     , 37.89    , 
alien-signals          , manyEffectsFromOneSource                                     , 106.58   , checksum=180075672000
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 94.25    , checksum=1372929289844
alien-signals          , manySourcesIntoOneComputedEffect                             , 93.20    , checksum=1331323690944
alien-signals          , manySourcesIntoOneDirectEffect                               , 29.25    , checksum=41605598900
alien-signals          , molBench                                                     , 165.40   , 
alien-signals          , createDataSignals                                            , 2.29     , 
alien-signals          , createComputations0to1                                       , 2.33     , 
alien-signals          , createComputations1to1                                       , 5.99     , 
alien-signals          , createComputations2to1                                       , 2.53     , 
alien-signals          , createComputations4to1                                       , 1.93     , 
alien-signals          , createComputations1000to1                                    , 0.02     , 
alien-signals          , createComputations1to2                                       , 4.45     , 
alien-signals          , createComputations1to4                                       , 2.99     , 
alien-signals          , createComputations1to8                                       , 2.11     , 
alien-signals          , createComputations1to1000                                    , 3.60     , 
alien-signals          , updateComputations1to1                                       , 1.83     , 
alien-signals          , updateComputations2to1                                       , 0.99     , 
alien-signals          , updateComputations4to1                                       , 0.45     , 
alien-signals          , updateComputations1000to1                                    , 0.01     , 
alien-signals          , updateComputations1to2                                       , 0.91     , 
alien-signals          , updateComputations1to4                                       , 0.45     , 
alien-signals          , updateComputations1to1000                                    , 0.02     , 
